Fold,Classifier,Accuracy,Precision,Recall,Specificity,F1,GM,FPR,AUC,MCC,Kappa,Balanced Accuracy,Training Time (s)
8,Random Forest,0.8672007768875941,0.434850863422292,0.5969827586206896,0.9015047879616963,0.5031789282470481,0.7336094432510621,0.09849521203830369,0.7994071064672862,0.435885973974884,0.4287120079373551,0.749243773291193,12.983757495880127
9,Random Forest,0.8768819815444391,0.46112115732368897,0.5495689655172413,0.9184455391351943,0.5014749262536873,0.7104570112444902,0.0815544608648057,0.7934366919577978,0.4340204989901617,0.43185656339273026,0.7340072523262178,12.54379653930664
10,Random Forest,0.8742107819329772,0.45544554455445546,0.5948275862068966,0.909688013136289,0.5158878504672897,0.7356001121908604,0.090311986863711,0.7997857213634562,0.4503024345899161,0.44506141171500135,0.7522577996715928,12.788496255874634
1,Gradient Boosting,0.8931779558145181,0.5372670807453416,0.3728448275862069,0.9592339261285909,0.4402035623409669,0.59803462090606,0.04076607387140903,0.7872768173027029,0.3911069531652912,0.3832820978399425,0.6660393768573989,43.68544101715088
2,Gradient Boosting,0.8892935178441369,0.5135135135135135,0.3275862068965517,0.9606019151846785,0.4,0.5609634014201924,0.03939808481532148,0.7772955092221332,0.35280176845878725,0.34228742551874247,0.6440940610406152,41.81507349014282
3,Gradient Boosting,0.8888079630978393,0.509090909090909,0.3620689655172414,0.9556771545827634,0.42317380352644834,0.5882355299777818,0.04432284541723666,0.7926585570074061,0.3700527743767096,0.36358116026807485,0.6588730600500023,42.51709461212158
4,Gradient Boosting,0.8936635105608157,0.5419354838709678,0.3620689655172414,0.9611491108071135,0.43410852713178294,0.5899171672851604,0.038850889192886456,0.777626303127506,0.3873575175497175,0.3779803380606849,0.6616090381621774,42.045424461364746
5,Gradient Boosting,0.8948773974265598,0.547112462006079,0.3879310344827586,0.9592339261285909,0.45397225725094575,0.6100136140071157,0.04076607387140903,0.8071825321949149,0.4048750478108432,0.3976717757691093,0.6735824803056748,42.03695726394653
6,Gradient Boosting,0.9019179412478757,0.5925925925925926,0.41379310344827586,0.9638850889192886,0.4873096446700508,0.6315449329314817,0.036114911080711354,0.8079549742912402,0.44355368791440714,0.4349679128043191,0.6888390961837823,46.485493421554565
7,Gradient Boosting,0.8941490653071134,0.5451612903225806,0.3642241379310345,0.961422708618331,0.43669250645994834,0.5917544737759333,0.038577291381668946,0.7824806005000235,0.3902682532850378,0.38082061048963156,0.6628234232746828,41.5357391834259
